select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4809
0 140829 test 140416 0.68 affine-transformation
0 140416 test 140829 0.48 decision-tree
0 140829 test 140416 0.46 decision-tree
0 140416 test 140829 0.49 random-forest
0 140829 test 140416 0.52 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5121
0 140416 test 140416 0.77 validation
0 150416 test 150416 0.73 validation
0 140416 test 150416 0.46 no-mapping
0 150416 test 140416 0.38 no-mapping
0 140416 test 150416 0.67 linear-transformation
0 150416 test 140416 0.68 linear-transformation
0 140416 test 150416 0.67 affine-transformation
0 150416 test 140416 0.68 affine-transformation
0 140416 test 150416 0.47 decision-tree
0 150416 test 140416 0.45 decision-tree
0 140416 test 150416 0.47 random-forest
0 150416 test 140416 0.49 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5427
0 140416 test 140416 0.78 validation
0 150602 test 150602 0.79 validation
0 140416 test 150602 0.46 no-mapping
0 150602 test 140416 0.54 no-mapping
0 140416 test 150602 0.66 linear-transformation
0 150602 test 140416 0.66 linear-transformation
0 140416 test 150602 0.66 affine-transformation
0 150602 test 140416 0.64 affine-transformation
0 140416 test 150602 0.46 decision-tree
0 150602 test 140416 0.5 decision-tree
0 140416 test 150602 0.51 random-forest
0 150602 test 140416 0.49 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5241
0 140416 test 140416 0.81 validation
0 150824 test 150824 0.78 validation
0 140416 test 150824 0.49 no-mapping
0 150824 test 140416 0.43 no-mapping
0 140416 test 150824 0.67 linear-transformation
0 150824 test 140416 0.67 linear-transformation
0 140416 test 150824 0.68 affine-transformation
0 150824 test 140416 0.66 affine-transformation
0 140416 test 150824 0.47 decision-tree
0 150824 test 140416 0.51 decision-tree
0 140416 test 150824 0.5 random-forest
0 150824 test 140416 0.52 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4368
0 140600 test 140600 0.76 validation
0 140829 test 140829 0.82 validation
0 140600 test 140829 0.4 no-mapping
0 140829 test 140600 0.09 no-mapping
0 140600 test 140829 0.71 linear-transformation
0 140829 test 140600 0.69 linear-transformation
0 140600 test 140829 0.7 affine-transformation
0 140829 test 140600 0.7 affine-transformation
0 140600 test 140829 0.42 decision-tree
0 140829 test 140600 0.49 decision-tree
0 140600 test 140829 0.49 random-forest
0 140829 test 140600 0.53 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4607
0 140600 test 140600 0.77 validation
0 150416 test 150416 0.78 validation
0 140600 test 150416 0.36 no-mapping
0 150416 test 140600 0.15 no-mapping
0 140600 test 150416 0.64 linear-transformation
0 150416 test 140600 0.7 linear-transformation
0 140600 test 150416 0.63 affine-transformation
0 150416 test 140600 0.69 affine-transformation
0 140600 test 150416 0.44 decision-tree
0 150416 test 140600 0.49 decision-tree
0 140600 test 150416 0.49 random-forest
0 150416 test 140600 0.53 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4538
0 140600 test 140600 0.73 validation
0 150602 test 150602 0.76 validation
0 140600 test 150602 0.3 no-mapping
0 150602 test 140600 0.18 no-mapping
0 140600 test 150602 0.66 linear-transformation
0 150602 test 140600 0.72 linear-transformation
0 140600 test 150602 0.66 affine-transformation
0 150602 test 140600 0.72 affine-transformation
0 140600 test 150602 0.45 decision-tree
0 150602 test 140600 0.48 decision-tree
0 140600 test 150602 0.47 random-forest
0 150602 test 140600 0.53 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4577
0 140600 test 140600 0.72 validation
0 150824 test 150824 0.77 validation
0 140600 test 150824 0.32 no-mapping
0 150824 test 140600 0.14 no-mapping
0 140600 test 150824 0.65 linear-transformation
0 150824 test 140600 0.71 linear-transformation
0 140600 test 150824 0.65 affine-transformation
0 150824 test 140600 0.71 affine-transformation
0 140600 test 150824 0.43 decision-tree
0 150824 test 140600 0.49 decision-tree
0 140600 test 150824 0.46 random-forest
0 150824 test 140600 0.53 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5330
0 140829 test 140829 0.82 validation
0 150416 test 150416 0.79 validation
0 140829 test 150416 0.44 no-mapping
0 150416 test 140829 0.26 no-mapping
0 140829 test 150416 0.65 linear-transformation
0 150416 test 140829 0.67 linear-transformation
0 140829 test 150416 0.64 affine-transformation
0 150416 test 140829 0.67 affine-transformation
0 140829 test 150416 0.47 decision-tree
0 150416 test 140829 0.51 decision-tree
0 140829 test 150416 0.5 random-forest
0 150416 test 140829 0.48 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5064
0 140829 test 140829 0.78 validation
0 150602 test 150602 0.72 validation
0 140829 test 150602 0.5 no-mapping
0 150602 test 140829 0.4 no-mapping
0 140829 test 150602 0.73 linear-transformation
0 150602 test 140829 0.71 linear-transformation
0 140829 test 150602 0.73 affine-transformation
0 150602 test 140829 0.71 affine-transformation
0 140829 test 150602 0.48 decision-tree
0 150602 test 140829 0.49 decision-tree
0 140829 test 150602 0.5 random-forest
0 150602 test 140829 0.5 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5602
0 140829 test 140829 0.81 validation
0 150824 test 150824 0.8 validation
0 140829 test 150824 0.53 no-mapping
0 150824 test 140829 0.41 no-mapping
0 140829 test 150824 0.73 linear-transformation
0 150824 test 140829 0.73 linear-transformation
0 140829 test 150824 0.72 affine-transformation
0 150824 test 140829 0.73 affine-transformation
0 140829 test 150824 0.49 decision-tree
0 150824 test 140829 0.48 decision-tree
0 140829 test 150824 0.48 random-forest
0 150824 test 140829 0.5 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5317
0 150416 test 150416 0.74 validation
0 150602 test 150602 0.76 validation
0 150416 test 150602 0.38 no-mapping
0 150602 test 150416 0.42 no-mapping
0 150416 test 150602 0.73 linear-transformation
0 150602 test 150416 0.69 linear-transformation
0 150416 test 150602 0.72 affine-transformation
0 150602 test 150416 0.69 affine-transformation
0 150416 test 150602 0.51 decision-tree
0 150602 test 150416 0.47 decision-tree
0 150416 test 150602 0.52 random-forest
0 150602 test 150416 0.47 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5037
0 150416 test 150416 0.76 validation
0 150824 test 150824 0.75 validation
0 150416 test 150824 0.36 no-mapping
0 150824 test 150416 0.38 no-mapping
0 150416 test 150824 0.72 linear-transformation
0 150824 test 150416 0.71 linear-transformation
0 150416 test 150824 0.72 affine-transformation
0 150824 test 150416 0.71 affine-transformation
0 150416 test 150824 0.48 decision-tree
0 150824 test 150416 0.52 decision-tree
0 150416 test 150824 0.49 random-forest
0 150824 test 150416 0.52 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5389
0 150602 test 150602 0.72 validation
0 150824 test 150824 0.72 validation
0 150602 test 150824 0.5 no-mapping
0 150824 test 150602 0.38 no-mapping
0 150602 test 150824 0.71 linear-transformation
0 150824 test 150602 0.7 linear-transformation
0 150602 test 150824 0.71 affine-transformation
0 150824 test 150602 0.7 affine-transformation
0 150602 test 150824 0.47 decision-tree
0 150824 test 150602 0.47 decision-tree
0 150602 test 150824 0.49 random-forest
0 150824 test 150602 0.5 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4738
1 130411 test 130411 0.81 validation
1 130606 test 130606 0.8 validation
1 130411 test 130606 0.41 no-mapping
1 130606 test 130411 0.4 no-mapping
1 130411 test 130606 0.67 linear-transformation
1 130606 test 130411 0.69 linear-transformation
1 130411 test 130606 0.68 affine-transformation
1 130606 test 130411 0.7 affine-transformation
1 130411 test 130606 0.48 decision-tree
1 130606 test 130411 0.44 decision-tree
1 130411 test 130606 0.5 random-forest
1 130606 test 130411 0.46 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4671
1 130411 test 130411 0.77 validation
1 131125 test 131125 0.68 validation
1 130411 test 131125 0.32 no-mapping
1 131125 test 130411 0.16 no-mapping
1 130411 test 131125 0.57 linear-transformation
1 131125 test 130411 0.58 linear-transformation
1 130411 test 131125 0.59 affine-transformation
1 131125 test 130411 0.58 affine-transformation
1 130411 test 131125 0.4 decision-tree
1 131125 test 130411 0.39 decision-tree
1 130411 test 131125 0.4 random-forest
1 131125 test 130411 0.38 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5359
1 130411 test 130411 0.74 validation
1 140416 test 140416 0.78 validation
1 130411 test 140416 0.52 no-mapping
1 140416 test 130411 0.08 no-mapping
1 130411 test 140416 0.64 linear-transformation
1 140416 test 130411 0.69 linear-transformation
1 130411 test 140416 0.65 affine-transformation
1 140416 test 130411 0.7 affine-transformation
1 130411 test 140416 0.46 decision-tree
1 140416 test 130411 0.41 decision-tree
1 130411 test 140416 0.49 random-forest
1 140416 test 130411 0.46 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4236
1 130411 test 130411 0.75 validation
1 140600 test 140600 0.7 validation
1 130411 test 140600 0.14 no-mapping
1 140600 test 130411 0.22 no-mapping
1 130411 test 140600 0.66 linear-transformation
1 140600 test 130411 0.67 linear-transformation
1 130411 test 140600 0.66 affine-transformation
1 140600 test 130411 0.66 affine-transformation
1 130411 test 140600 0.46 decision-tree
1 140600 test 130411 0.42 decision-tree
1 130411 test 140600 0.49 random-forest
1 140600 test 130411 0.43 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5066
1 130411 test 130411 0.79 validation
1 140829 test 140829 0.8 validation
1 130411 test 140829 0.24 no-mapping
1 140829 test 130411 0.04 no-mapping
1 130411 test 140829 0.66 linear-transformation
1 140829 test 130411 0.7 linear-transformation
1 130411 test 140829 0.66 affine-transformation
1 140829 test 130411 0.7 affine-transformation
1 130411 test 140829 0.5 decision-tree
1 140829 test 130411 0.45 decision-tree
1 130411 test 140829 0.53 random-forest
1 140829 test 130411 0.5 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4656
1 130411 test 130411 0.79 validation
1 150416 test 150416 0.78 validation
1 130411 test 150416 0.32 no-mapping
1 150416 test 130411 0.03 no-mapping
1 130411 test 150416 0.63 linear-transformation
1 150416 test 130411 0.7 linear-transformation
1 130411 test 150416 0.64 affine-transformation
1 150416 test 130411 0.7 affine-transformation
1 130411 test 150416 0.48 decision-tree
1 150416 test 130411 0.46 decision-tree
1 130411 test 150416 0.51 random-forest
1 150416 test 130411 0.44 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5151
1 130411 test 130411 0.79 validation
1 150602 test 150602 0.79 validation
1 130411 test 150602 0.3 no-mapping
1 150602 test 130411 0.14 no-mapping
1 130411 test 150602 0.64 linear-transformation
1 150602 test 130411 0.64 linear-transformation
1 130411 test 150602 0.65 affine-transformation
1 150602 test 130411 0.64 affine-transformation
1 130411 test 150602 0.48 decision-tree
1 150602 test 130411 0.47 decision-tree
1 130411 test 150602 0.47 random-forest
1 150602 test 130411 0.46 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5246
1 130411 test 130411 0.8 validation
1 150824 test 150824 0.76 validation
1 130411 test 150824 0.33 no-mapping
1 150824 test 130411 0.1 no-mapping
1 130411 test 150824 0.67 linear-transformation
1 150824 test 130411 0.68 linear-transformation
1 130411 test 150824 0.67 affine-transformation
1 150824 test 130411 0.67 affine-transformation
1 130411 test 150824 0.48 decision-tree
1 150824 test 130411 0.46 decision-tree
1 130411 test 150824 0.5 random-forest
1 150824 test 130411 0.49 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4510
1 130606 test 130606 0.76 validation
1 131125 test 131125 0.73 validation
1 130606 test 131125 0.35 no-mapping
1 131125 test 130606 0.11 no-mapping
1 130606 test 131125 0.65 linear-transformation
1 131125 test 130606 0.62 linear-transformation
1 130606 test 131125 0.65 affine-transformation
1 131125 test 130606 0.61 affine-transformation
1 130606 test 131125 0.44 decision-tree
1 131125 test 130606 0.39 decision-tree
1 130606 test 131125 0.44 random-forest
1 131125 test 130606 0.41 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4509
1 130606 test 130606 0.77 validation
1 140416 test 140416 0.75 validation
1 130606 test 140416 0.36 no-mapping
1 140416 test 130606 0.09 no-mapping
1 130606 test 140416 0.7 linear-transformation
1 140416 test 130606 0.64 linear-transformation
1 130606 test 140416 0.71 affine-transformation
1 140416 test 130606 0.63 affine-transformation
1 130606 test 140416 0.47 decision-tree
1 140416 test 130606 0.45 decision-tree
1 130606 test 140416 0.51 random-forest
1 140416 test 130606 0.46 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4056
1 130606 test 130606 0.8 validation
1 140600 test 140600 0.76 validation
1 130606 test 140600 0.31 no-mapping
1 140600 test 130606 0.27 no-mapping
1 130606 test 140600 0.69 linear-transformation
1 140600 test 130606 0.68 linear-transformation
1 130606 test 140600 0.7 affine-transformation
1 140600 test 130606 0.68 affine-transformation
1 130606 test 140600 0.4 decision-tree
1 140600 test 130606 0.39 decision-tree
1 130606 test 140600 0.46 random-forest
1 140600 test 130606 0.43 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5062
1 130606 test 130606 0.75 validation
1 140829 test 140829 0.77 validation
1 130606 test 140829 0.4 no-mapping
1 140829 test 130606 0.06 no-mapping
1 130606 test 140829 0.67 linear-transformation
1 140829 test 130606 0.67 linear-transformation
1 130606 test 140829 0.66 affine-transformation
1 140829 test 130606 0.66 affine-transformation
1 130606 test 140829 0.44 decision-tree
1 140829 test 130606 0.47 decision-tree
1 130606 test 140829 0.5 random-forest
1 140829 test 130606 0.46 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4964
1 130606 test 130606 0.81 validation
1 150416 test 150416 0.77 validation
1 130606 test 150416 0.41 no-mapping
1 150416 test 130606 0.05 no-mapping
1 130606 test 150416 0.62 linear-transformation
1 150416 test 130606 0.64 linear-transformation
1 130606 test 150416 0.62 affine-transformation
1 150416 test 130606 0.65 affine-transformation
1 130606 test 150416 0.48 decision-tree
1 150416 test 130606 0.43 decision-tree
1 130606 test 150416 0.5 random-forest
1 150416 test 130606 0.46 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5015
1 130606 test 130606 0.81 validation
1 150602 test 150602 0.77 validation
1 130606 test 150602 0.37 no-mapping
1 150602 test 130606 0.12 no-mapping
1 130606 test 150602 0.67 linear-transformation
1 150602 test 130606 0.67 linear-transformation
1 130606 test 150602 0.68 affine-transformation
1 150602 test 130606 0.66 affine-transformation
1 130606 test 150602 0.49 decision-tree
1 150602 test 130606 0.49 decision-tree
1 130606 test 150602 0.53 random-forest
1 150602 test 130606 0.49 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4876
1 130606 test 130606 0.8 validation
1 150824 test 150824 0.8 validation
1 130606 test 150824 0.44 no-mapping
1 150824 test 130606 0.15 no-mapping
1 130606 test 150824 0.68 linear-transformation
1 150824 test 130606 0.69 linear-transformation
1 130606 test 150824 0.68 affine-transformation
1 150824 test 130606 0.69 affine-transformation
1 130606 test 150824 0.52 decision-tree
1 150824 test 130606 0.45 decision-tree
1 130606 test 150824 0.5 random-forest
1 150824 test 130606 0.47 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4429
1 131125 test 131125 0.78 validation
1 140416 test 140416 0.76 validation
1 131125 test 140416 0.13 no-mapping
1 140416 test 131125 0.15 no-mapping
1 131125 test 140416 0.6 linear-transformation
1 140416 test 131125 0.62 linear-transformation
